"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"39","305.76203825536135","61.689078797084","4.50442825905534","-0.31295465019890567","0.011800000000000033","0.01880000000000004","0.0048","1244.4444444444443","0.0012417529947918334","0","0.0012417529947918334","0.0012417529947918334","39_38:0.018021537648063135","39_38:561.7777777777777","true"
"40","315.72985534176894","28.178668882082647","4.464342874717318","-0.33809284738007156","0.007199999999999984","0.009199999999999986","0.0052","1244.4444444444443","0.00029848524796960565","0","0.00029848524796960565","0.00029848524796960565","40_39:0.012140976287828648;40_41:0.011801714922280021","40_39:561.7777777777777;40_41:561.7777777777777","true"
"41","149.4313610105564","255.91440381377296","4.575899559050207","-0.3452224783858925","0.0023999999999999577","0.0041999999999999815","0.0006","1244.4444444444443","0.00017268390797507626","0","0.00017268390797507626","0.00017268390797507626","","","true"
"42","258.2545551265635","93.35202731912706","4.641379147793758","-0.33193206992602775","0.0020999999999999908","0.0033999999999999586","0.0008","1244.4444444444443","0.00018509821635071704","0","0.00018509821635071704","0.00018509821635071704","42_41:0.009083446167074544;42_43:0.010554056539547468","42_41:561.7777777777777;42_43:561.7777777777777","true"
"43","260.3278227762002","188.2765621914518","4.523118142436291","-0.3218076034687584","0.012699999999999934","0.010000000000000009","0.0154","1244.4444444444443","0.0002591587184953408","0","0.0002591587184953408","0.0002591587184953408","43_34:0.010963965765373923","43_34:561.7777777777777","true"
"44","333.98086962094726","197.43792529281902","4.5943271885401975","-0.2725547830259511","0.04800000000000004","0.05020000000000002","0.0458","1244.4444444444443","0.0003653961262169395","0","0.0003653961262169395","0.0003653961262169395","44_43:0.014914981918527359","44_43:561.7777777777777","true"
"45","253.59541495964677","92.89714593857289","4.6304563340827585","-0.31121477664524183","0.008900000000000019","0.017000000000000015","0.0008","1244.4444444444443","0.0001827693523737459","0","0.0001827693523737459","0.0001827693523737459","45_44:0.008032491094821292;45_46:0.01549011633716349","45_44:561.7777777777777;45_46:561.7777777777777","true"
"46","332.4859984307825","54.95725867725024","4.710110793824402","-0.31051099269051724","0.0050000000000000044","0.007600000000000051","0.0024","1244.4444444444443","0.0015085803219766721","0","0.0015085803219766721","0.0015085803219766721","46_47:0.02632996854160427","46_47:561.7777777777777","true"
"47","192.29277088921177","93.82271005833715","4.680395574076177","-0.2791698234955903","0.05130000000000001","0.030399999999999983","0.0722","1244.4444444444443","0.0015424855300932036","0","0.0015424855300932036","0.0015424855300932036","","","true"
"48","190.5558216100311","67.5993046551358","4.625120588627946","-0.31121814662509445","0.0035000000000000586","0.00539999999999996","0.0016","1244.4444444444443","0.00022056373857061903","0","0.00022056373857061903","0.00022056373857061903","48_49:0.008150894613368015;48_47:0.013478130352695988","48_49:561.7777777777777;48_47:561.7777777777777","true"
"49","90.14952695143027","39.806538508789586","4.581946417803451","-0.35202725215057706","0.011399999999999966","0.009199999999999986","0.0136","1244.4444444444443","0.00021459190299259075","0","0.00021459190299259075","0.00021459190299259075","","","true"
"50","361.42148873221595","79.87938870025465","4.457765948641141","-0.3137510834931671","0.0041999999999999815","0.0064","0.0020000000000000018","1244.4444444444443","0.00016935158170491981","0","0.00016935158170491981","0.00016935158170491981","50_51:0.009997010608680301;50_49:0.012465127956930333","50_51:561.7777777777777;50_49:561.7777777777777","true"
"51","264.0418517004295","68.23610660438777","4.565166196269563","-0.2968087163341602","0.04970000000000008","0.04920000000000002","0.0502","1244.4444444444443","0.00020048263503593273","0","0.00020048263503593273","0.00020048263503593273","","","true"
"52","330.1000305223143","38.746600249486235","4.444284635661003","-0.2854962354743173","0.08999999999999997","0.0888","0.09119999999999995","1244.4444444444443","0.0007820834175984342","0","0.0007820834175984342","0.0007820834175984342","","","true"
"53","342.75991101046526","393.4672496563704","4.621997205818388","-0.3089157779566661","0.006000000000000005","0.007399999999999962","0.0046","1244.4444444444443","0.0001860085541669767","0","0.0001860085541669767","0.0001860085541669767","53_60:0.004194548533930392;53_41:0.005253323697029216","53_60:561.7777777777777;53_41:561.7777777777777","true"
